"activity" "subject" "mean"
"laying" 1 -0.743126753233842
"laying" 2 -0.718920180798411
"laying" 3 -0.724558704658887
"laying" 4 -0.738453366680006
"laying" 5 -0.738760253263518
"laying" 6 -0.740100776993824
"laying" 7 -0.729730169748674
"laying" 8 -0.73957284374618
"laying" 9 -0.639705534021648
"laying" 10 -0.702031162509329
"laying" 11 -0.746133039821382
"laying" 12 -0.746518848618503
"laying" 13 -0.747039773104429
"laying" 14 -0.737847526254904
"laying" 15 -0.738162801094621
"laying" 16 -0.681581978523055
"laying" 17 -0.734347688677236
"laying" 18 -0.749711337306598
"laying" 19 -0.739085358855865
"laying" 20 -0.747047283845479
"laying" 21 -0.7165316394682
"laying" 22 -0.736014034286461
"laying" 23 -0.72373321683242
"laying" 24 -0.73371945664569
"laying" 25 -0.715422227400214
"laying" 26 -0.732694054370465
"laying" 27 -0.743287358888657
"laying" 28 -0.731324690617382
"laying" 29 -0.742143249540819
"laying" 30 -0.729316795500066
"sitting" 1 -0.735392974446543
"sitting" 2 -0.720565584340434
"sitting" 3 -0.721236181166344
"sitting" 4 -0.726113491116866
"sitting" 5 -0.702890051018701
"sitting" 6 -0.732589299980039
"sitting" 7 -0.733360792173713
"sitting" 8 -0.737926619658843
"sitting" 9 -0.73373495052949
"sitting" 10 -0.736829680124046
"sitting" 11 -0.7457530490311
"sitting" 12 -0.731780285730207
"sitting" 13 -0.741520990113623
"sitting" 14 -0.726102407642704
"sitting" 15 -0.737144249115584
"sitting" 16 -0.725010256710861
"sitting" 17 -0.707845449974583
"sitting" 18 -0.731041115599865
"sitting" 19 -0.71816250875378
"sitting" 20 -0.739022156685121
"sitting" 21 -0.716298226246538
"sitting" 22 -0.717823335786212
"sitting" 23 -0.729446033991641
"sitting" 24 -0.732058477455571
"sitting" 25 -0.730278809106672
"sitting" 26 -0.726626289746007
"sitting" 27 -0.744977635664299
"sitting" 28 -0.739490323301393
"sitting" 29 -0.733457977480425
"sitting" 30 -0.740724174742765
"standing" 1 -0.729647126141885
"standing" 2 -0.723966146908261
"standing" 3 -0.711176661523518
"standing" 4 -0.736925344022846
"standing" 5 -0.72201904802308
"standing" 6 -0.729364354906948
"standing" 7 -0.719899961497867
"standing" 8 -0.740839268554395
"standing" 9 -0.739256665905592
"standing" 10 -0.741075782524669
"standing" 11 -0.745742610548208
"standing" 12 -0.744521684709688
"standing" 13 -0.733874019251524
"standing" 14 -0.700292614238444
"standing" 15 -0.734420049761198
"standing" 16 -0.751886863913404
"standing" 17 -0.712068206745217
"standing" 18 -0.712781905193046
"standing" 19 -0.709862191186297
"standing" 20 -0.746367467716051
"standing" 21 -0.724825055697355
"standing" 22 -0.725148139925677
"standing" 23 -0.741848955220474
"standing" 24 -0.713864536259355
"standing" 25 -0.733750919831609
"standing" 26 -0.742144959811587
"standing" 27 -0.74670697308305
"standing" 28 -0.745635963699537
"standing" 29 -0.738810859073032
"standing" 30 -0.732368185914612
"walking" 1 -0.32544820638322
"walking" 2 -0.161843378710114
"walking" 3 -0.392128132692634
"walking" 4 -0.0969339947223061
"walking" 5 -0.277448736775822
"walking" 6 -0.234076548757231
"walking" 7 -0.227150731734061
"walking" 8 -0.206314490717218
"walking" 9 -0.413589113741561
"walking" 10 -0.398755268794894
"walking" 11 -0.394478845416299
"walking" 12 -0.31531844121187
"walking" 13 -0.315300610673124
"walking" 14 -0.0954032717082775
"walking" 15 -0.361148443528674
"walking" 16 -0.221314461936444
"walking" 17 -0.302693016246132
"walking" 18 -0.313871992811888
"walking" 19 -0.290846535887125
"walking" 20 -0.256846692509308
"walking" 21 -0.235195605795312
"walking" 22 -0.156418272722087
"walking" 23 -0.278821248058113
"walking" 24 -0.267020565167016
"walking" 25 -0.310548963445494
"walking" 26 -0.306114313281622
"walking" 27 -0.383138718688577
"walking" 28 -0.309280113929322
"walking" 29 -0.0739875703910806
"walking" 30 -0.239612750488894
"walking downstairs" 1 -0.106411521321941
"walking downstairs" 2 -0.147381918801591
"walking downstairs" 3 -0.281840698460603
"walking downstairs" 4 -0.00736182900909091
"walking downstairs" 5 -0.162548480947928
"walking downstairs" 6 -0.119722871546204
"walking downstairs" 7 -0.176354202030835
"walking downstairs" 8 -0.170802030677804
"walking downstairs" 9 -0.243973507597902
"walking downstairs" 10 -0.316364223393728
"walking downstairs" 11 -0.377526737575512
"walking downstairs" 12 -0.175493103647397
"walking downstairs" 13 -0.180615867943192
"walking downstairs" 14 -0.0458055951405788
"walking downstairs" 15 -0.229676450764394
"walking downstairs" 16 -0.203195957625149
"walking downstairs" 17 -0.20621651371936
"walking downstairs" 18 -0.139396563077246
"walking downstairs" 19 -0.154677287829953
"walking downstairs" 20 -0.178812689061223
"walking downstairs" 21 -0.00814171308833271
"walking downstairs" 22 -0.11456735738163
"walking downstairs" 23 -0.113269850577004
"walking downstairs" 24 -0.217523391374438
"walking downstairs" 25 -0.077172414199383
"walking downstairs" 26 -0.114055542511411
"walking downstairs" 27 -0.21577265313244
"walking downstairs" 28 -0.233445826587078
"walking downstairs" 29 0.154941520892261
"walking downstairs" 30 -0.139645365609202
"walking upstairs" 1 -0.27094863788048
"walking upstairs" 2 -0.191712185339628
"walking upstairs" 3 -0.341355950186464
"walking upstairs" 4 -0.265397097324279
"walking upstairs" 5 -0.352322249173958
"walking upstairs" 6 -0.214657479004489
"walking upstairs" 7 -0.354006222470134
"walking upstairs" 8 -0.330641118753785
"walking upstairs" 9 -0.371458778853289
"walking upstairs" 10 -0.407984551752455
"walking upstairs" 11 -0.42646923228292
"walking upstairs" 12 -0.330337988544182
"walking upstairs" 13 -0.368009684288904
"walking upstairs" 14 -0.239506485427408
"walking upstairs" 15 -0.281906175352386
"walking upstairs" 16 -0.341595913940909
"walking upstairs" 17 -0.33073288138237
"walking upstairs" 18 -0.33415476659013
"walking upstairs" 19 -0.285545354067487
"walking upstairs" 20 -0.236679007746555
"walking upstairs" 21 -0.189984813956898
"walking upstairs" 22 -0.328534830459538
"walking upstairs" 23 -0.246245987679995
"walking upstairs" 24 -0.33891298828135
"walking upstairs" 25 -0.226456637909787
"walking upstairs" 26 -0.243758267384264
"walking upstairs" 27 -0.382992324573922
"walking upstairs" 28 -0.302507349895375
"walking upstairs" 29 -0.196891295749223
"walking upstairs" 30 -0.298692900152311
